District.ID,Distributer name,Buy rate (million),Sell rate(million),volumeIN(millioncubic litter),volume OUT(millioncubic litter),Year
U5T 9M6,Bharat,$886.10,$6965.52,1073,887,1787
B2V 5K7,Bharat,$839.21,$4026.70,1063,688,1788
U0K 6G8,Bharat,$854.79,$10878.24,1084,779,1789
Y8W 8G6,shell,$821.42,$3459.41,932,881,1790
L8C 6K6,Bharat,$824.78,$1802.85,1096,829,1791
Y6A 4W9,reliance,$863.67,$3912.57,1013,801,1792
W2A 5I6,reliance,$953.56,$11738.19,1082,720,1793
E3O 3Y7,reliance,$939.22,$5047.95,1094,673,1794
A7Z 3L9,shell,$905.20,$9770.91,1099,625,1795
E5T 2A9,Bharat,$976.10,$1092.78,911,617,1796
X7N 3V4,shell,$947.30,$7303.82,1093,732,1797
L5J 3T6,hindustan,$977.09,$2077.27,1089,733,1798
K3E 9F5,Bharat,$931.21,$7107.15,1008,619,1799
J1M 6B4,Bharat,$810.09,$3423.91,978,891,1800
W3R 6P8,hindustan,$864.61,$2013.67,969,719,1801
B6W 5U4,Bharat,$992.35,$7715.02,948,690,1802
S9F 6Z3,hindustan,$866.93,$8501.88,1068,793,1803
N7Y 3W5,shell,$893.10,$9679.00,1094,752,1804
T6B 0Q4,Bharat,$890.36,$2569.85,907,812,1805
Z7E 2R9,hindustan,$809.87,$11399.49,1050,801,1806
J2P 0H2,hindustan,$955.80,$7616.89,1053,654,1807
D2Y 0R0,shell,$847.18,$1562.33,900,642,1808
A9P 7L9,reliance,$802.44,$8171.03,950,878,1809
X0L 8F2,hindustan,$930.60,$2037.24,928,808,1810
B9J 7O9,reliance,$900.26,$3997.90,963,818,1811
M9P 6H7,hindustan,$933.19,$11368.44,1092,821,1812
V9Y 6Q9,reliance,$991.74,$9641.01,960,827,1813
M7Y 7L8,shell,$978.08,$5872.86,1071,703,1814
U2M 9W3,hindustan,$821.34,$6135.17,1099,872,1815
Y8J 9A6,shell,$988.89,$2426.77,1061,718,1816
C3X 6N9,reliance,$973.15,$5121.95,1064,727,1817
H4B 0M0,reliance,$864.29,$8331.91,1053,664,1818
X6I 2F4,shell,$823.27,$7769.17,909,764,1819
J1A 7F3,Bharat,$844.34,$5975.35,1087,836,1820
F4O 2O2,Bharat,$971.59,$2284.49,1044,864,1821
F7B 7Y6,Bharat,$883.31,$2514.70,933,882,1822
N2I 6C8,Bharat,$818.04,$4038.72,1077,646,1823
G8D 6J6,hindustan,$848.21,$3408.03,976,640,1824
S2Z 0C3,reliance,$890.97,$10877.68,924,616,1825
O4D 5T0,shell,$912.24,$5892.32,1068,778,1826
E1J 4L2,reliance,$927.11,$2037.56,1043,783,1827
X4T 1S6,hindustan,$853.66,$2714.33,981,832,1828
I4A 3Z4,hindustan,$845.24,$11309.44,997,715,1829
V6E 6M8,hindustan,$872.56,$7570.57,989,777,1830
G0C 8Q8,hindustan,$883.41,$5284.85,1092,743,1831
C1N 6M7,reliance,$887.55,$10586.50,1076,674,1832
Y5F 0S2,reliance,$921.53,$1109.29,1060,626,1833
O8S 7J9,hindustan,$841.55,$5163.88,941,822,1834
X4P 9X8,reliance,$850.40,$9524.70,907,642,1835
K5K 3S5,reliance,$803.30,$5515.90,1041,884,1836
H5Z 2W0,reliance,$947.63,$3731.51,1004,894,1837
K1L 8T6,reliance,$805.89,$4777.98,988,785,1838
W4T 6K2,hindustan,$926.39,$8523.39,923,877,1839
I3Z 1B3,reliance,$875.60,$7948.97,945,757,1840
G0M 7P9,reliance,$958.43,$2075.99,953,667,1841
N5Q 8E5,Bharat,$859.17,$2899.05,934,895,1842
C0G 8G1,shell,$840.81,$4319.85,1087,627,1843
P3A 0H6,hindustan,$840.45,$5790.18,1006,843,1844
O3A 5G3,Bharat,$936.18,$2682.79,1046,708,1845
Q0W 4A5,hindustan,$924.04,$7132.94,975,861,1846
M4V 0E1,hindustan,$950.87,$4273.37,1096,673,1847
X0V 0F5,reliance,$993.01,$3723.62,922,883,1848
H5X 2J2,reliance,$942.40,$7851.07,1099,758,1849
C9F 6I0,hindustan,$809.35,$11969.83,965,837,1850
C5G 4O5,Bharat,$943.11,$3450.06,996,727,1851
G7K 1D3,shell,$808.07,$1150.96,1079,655,1852
L4Q 4E2,Bharat,$941.99,$9818.18,948,837,1853
U3N 7E5,hindustan,$891.48,$6896.05,1086,790,1854
O9U 1V9,reliance,$969.30,$7742.02,1069,695,1855
N2I 6Q0,Bharat,$873.16,$3714.80,1096,743,1856
R7U 3Q4,shell,$931.26,$1389.91,1063,891,1857
D0A 3Y0,hindustan,$953.41,$6967.52,907,825,1858
J5V 9M2,shell,$962.47,$2018.75,949,711,1859
F2K 3M5,Bharat,$955.82,$3761.99,986,843,1860
H7M 4M4,Bharat,$947.29,$10541.43,976,603,1861
F6D 9H4,Bharat,$999.45,$1198.22,914,715,1862
I6Y 7C1,Bharat,$983.12,$11265.95,947,691,1863
C7H 1N9,reliance,$834.58,$6452.85,903,773,1864
P4O 3H2,Bharat,$935.37,$6797.15,1047,837,1865
J5Q 1H7,Bharat,$922.37,$11104.06,1031,644,1866
Q0M 1L1,reliance,$876.62,$2698.01,935,809,1867
F1D 9S9,reliance,$975.24,$9557.62,914,620,1868
V6S 7P4,shell,$883.28,$1816.28,1037,838,1869
D9J 0N0,reliance,$816.54,$10336.86,1021,868,1870
L9H 1K6,hindustan,$911.23,$2854.49,901,613,1871
Q6K 3Z0,hindustan,$821.92,$3480.67,949,778,1872
J6E 6L5,hindustan,$851.70,$6364.94,1082,867,1873
J3A 6G9,shell,$903.85,$3391.75,934,873,1874
E7J 0O9,shell,$903.26,$7395.90,1025,631,1875
E2N 8M2,reliance,$997.55,$4339.98,930,627,1876
W1B 4S1,reliance,$845.02,$8990.00,976,734,1877
A2W 5W2,reliance,$860.95,$2842.42,1053,764,1878
U3P 6H6,shell,$941.64,$11533.81,947,731,1879
P5C 4O8,Bharat,$840.94,$9262.88,1016,619,1880
Q0T 6T2,reliance,$869.42,$8188.57,1060,726,1881
Y5J 9U4,reliance,$831.85,$6850.59,945,670,1882
N1G 1M2,reliance,$971.67,$7416.35,906,780,1883
Q7T 4K7,reliance,$911.47,$5398.69,1097,889,1884
Q5Y 9T3,hindustan,$826.01,$11176.51,963,701,1885
G0R 5A0,Bharat,$867.65,$2989.86,930,778,1886
Q9E 7J2,reliance,$949.31,$7230.18,962,730,1887
T1A 9O4,Bharat,$852.18,$5209.75,1000,878,1888
O3D 6I4,reliance,$819.52,$11437.38,1006,819,1889
B2K 7U1,reliance,$822.83,$8520.23,913,629,1890
M5Z 4C7,shell,$806.02,$1006.63,1006,805,1891
K0A 0R0,Bharat,$975.02,$7834.03,1063,714,1892
Y0U 6T6,Bharat,$875.48,$1494.54,1043,857,1893
Z3F 8R8,shell,$839.33,$6639.90,943,682,1894
O8A 6Z5,Bharat,$845.74,$8240.36,1045,897,1895
M1T 8I6,reliance,$834.74,$5839.65,976,806,1896
H9E 8U3,Bharat,$890.70,$1778.13,1021,854,1897
H4P 6A9,Bharat,$914.88,$6766.33,985,610,1898
C5X 1C3,reliance,$802.34,$2825.86,1012,716,1899
O5S 1T6,hindustan,$868.28,$2378.12,1021,684,1900
N8P 2B0,hindustan,$870.99,$8563.16,1021,663,1901
T0L 6I1,hindustan,$899.73,$9428.06,998,780,1902
D9L 6K0,Bharat,$994.54,$5237.62,1098,720,1903
C0Z 5S4,Bharat,$885.21,$6347.10,948,888,1904
V5D 1L4,Bharat,$984.15,$5824.10,1077,842,1905
P8Q 8W7,reliance,$903.96,$4849.71,981,627,1906
Z2G 3G5,reliance,$894.69,$2478.96,1039,800,1907
E9I 6X2,reliance,$961.05,$6224.52,925,646,1908
K3K 9K9,reliance,$838.13,$8739.44,963,831,1909
Y0V 9Z4,hindustan,$994.92,$7421.61,1019,660,1910
J2X 7Y6,reliance,$884.51,$3442.03,1046,700,1911
R7J 4Q0,shell,$815.33,$9986.80,1097,719,1912
K7H 0Q6,reliance,$831.89,$1195.12,1062,800,1913
P2T 5K5,hindustan,$821.97,$10362.88,913,806,1914
O5D 2R6,hindustan,$801.58,$4489.16,946,610,1915
T1H 4V4,shell,$872.18,$968.36,1096,770,1916
A0P 2M4,Bharat,$840.81,$9564.21,952,662,1917
M9N 1E7,Bharat,$909.64,$2121.47,972,879,1918
D1V 5U7,Bharat,$847.67,$5663.37,1036,750,1919
P1A 3W8,Bharat,$914.89,$6792.14,917,870,1920
Q7V 2U7,hindustan,$897.37,$3744.14,1038,777,1921
U9Q 4J1,Bharat,$868.89,$2074.86,969,814,1922
R7A 9F2,shell,$891.96,$7116.57,1066,760,1923
V8H 2I5,hindustan,$853.09,$2568.60,984,800,1924
S8W 0P4,reliance,$929.90,$2984.79,921,899,1925
Z4Y 2K4,reliance,$870.62,$4017.39,954,793,1926
Q4F 7J5,reliance,$851.44,$4068.61,1082,731,1927
X5J 6F9,hindustan,$930.33,$3515.29,971,866,1928
D6D 5A9,Bharat,$818.82,$9903.47,938,623,1929
P1B 7R8,shell,$886.80,$4226.80,1028,622,1930
M0U 9F5,reliance,$876.04,$8870.78,1008,715,1931
W7G 2P3,shell,$967.56,$1216.57,1004,864,1932
G1J 6K5,hindustan,$925.82,$10448.70,1015,857,1933
J1C 3G1,shell,$885.88,$1361.48,1082,647,1934
I2N 7S1,shell,$967.90,$8725.23,1100,622,1935
A9Y 9T7,reliance,$973.64,$4209.12,1059,781,1936
V7P 6U6,shell,$936.51,$1151.53,1013,690,1937
Q1S 5C0,reliance,$919.63,$6605.56,916,771,1938
I3U 6H8,Bharat,$959.02,$10700.58,902,615,1939
A5T 3F4,Bharat,$974.54,$3476.80,1046,729,1940
T9V 0E2,Bharat,$975.00,$11128.84,1024,870,1941
A0V 7Q3,Bharat,$854.65,$2991.80,1089,880,1942
T1A 9W4,reliance,$830.93,$4022.26,1067,899,1943
G1O 6H9,Bharat,$931.77,$7830.44,1095,815,1944
S7N 7M4,reliance,$860.68,$5937.08,1086,691,1945
C8L 5T7,reliance,$958.74,$3589.13,1077,671,1946
I9Y 2N9,reliance,$943.50,$5339.07,1031,673,1947
U9J 2U7,hindustan,$979.23,$6120.01,1042,651,1948
G1S 6R5,reliance,$891.99,$5508.26,960,641,1949
J6D 3V0,hindustan,$961.56,$10140.80,1077,696,1950
J0L 3D8,reliance,$827.97,$4627.46,1018,714,1951
S9T 4W1,Bharat,$829.16,$3139.29,1028,663,1952
Y1U 9G2,reliance,$875.16,$2763.04,1090,757,1953
O0D 0L1,shell,$890.78,$3087.27,923,612,1954
I6D 1H5,hindustan,$826.51,$10815.26,1067,664,1955
U9L 6X1,reliance,$842.47,$6894.92,1045,667,1956
D6O 1L5,shell,$933.62,$1472.30,930,733,1957
I6S 6G6,hindustan,$867.20,$5587.80,1048,868,1958
F8R 3A1,Bharat,$862.99,$1663.41,987,640,1959
D1N 6E3,Bharat,$801.81,$4955.42,1018,757,1960
K2H 1K3,shell,$885.15,$2458.26,922,718,1961
S5L 7C9,hindustan,$986.71,$7645.81,934,741,1962
V2N 7P9,shell,$874.22,$8341.88,961,622,1963
F9Y 5E6,shell,$940.92,$1626.87,905,890,1964
Q2Q 8W6,Bharat,$878.27,$9126.15,951,747,1965
T3H 4S8,hindustan,$807.50,$10359.08,1044,654,1966
L1B 5V1,reliance,$941.43,$9713.49,965,653,1967
I0E 7N9,hindustan,$901.05,$8453.61,1094,794,1968
T3V 8A0,reliance,$853.76,$7875.70,928,675,1969
R9K 2I8,shell,$831.29,$2185.45,1045,687,1970
M8Q 4U3,reliance,$817.10,$7666.34,1032,862,1971
H8R 4A8,hindustan,$932.33,$7912.65,914,666,1972
T9M 3N6,shell,$895.86,$3668.33,961,679,1973
D6N 0K0,Bharat,$957.93,$1028.46,1077,696,1974
M5P 4M5,shell,$878.01,$5974.53,999,792,1975
R7R 7J6,hindustan,$932.13,$3814.66,1033,793,1976
F9Z 7J0,reliance,$963.43,$6958.12,1094,833,1977
E7Q 2O3,hindustan,$980.20,$4985.21,1075,873,1978
X1V 7T9,Bharat,$992.02,$1620.90,1071,677,1979
I9V 8Q9,shell,$990.10,$11438.98,1062,672,1980
W7J 8U1,hindustan,$966.17,$11223.36,929,793,1981
H1L 4D8,Bharat,$900.50,$6427.86,1017,652,1982
X8R 9W5,Bharat,$891.20,$7560.19,1065,781,1983
Y5V 1N5,hindustan,$893.65,$9705.44,1025,753,1984
I9V 9P0,Bharat,$811.09,$9208.26,921,698,1985
S7H 8Y5,shell,$891.73,$4893.08,1021,716,1986
R0N 8M6,hindustan,$918.40,$1857.57,1052,865,1987
F2N 4R7,reliance,$850.21,$7611.73,1076,794,1988
S8S 9C2,reliance,$904.33,$3514.37,1001,774,1989
M1B 2Z0,Bharat,$887.85,$6020.22,927,743,1990
Z2G 8W2,hindustan,$843.00,$4427.13,980,631,1991
X6E 2N5,shell,$800.64,$11877.46,1052,743,1992
R9U 4Q7,hindustan,$833.61,$8845.16,989,838,1993
E7D 0Z9,Bharat,$872.27,$2183.70,959,795,1994
C4L 9Y5,Bharat,$928.37,$7227.18,1062,634,1995
O6Y 2C9,reliance,$817.16,$3561.01,1012,877,1996
Q8L 8F7,Bharat,$971.24,$5904.21,943,701,1997
J9B 4E8,hindustan,$927.26,$7551.26,1076,828,1998
A0M 0G6,Bharat,$899.27,$11590.58,930,691,1999
T4L 8D0,reliance,$990.35,$11992.28,1092,640,2000
U5C 0Z9,reliance,$860.89,$9540.71,1013,658,2001
M5E 1U3,Bharat,$866.45,$8752.33,1038,655,2002
T4T 3K2,reliance,$898.27,$10575.46,1001,614,2003
F6W 6H3,shell,$922.72,$11596.14,933,896,2004
F4D 6K2,Bharat,$971.70,$2524.08,972,602,2005
V8U 2T6,shell,$845.89,$11744.40,1002,898,2006
H3P 8B8,reliance,$936.64,$6735.19,1078,785,2007
F7S 4B3,Bharat,$833.50,$10930.07,941,871,2008
H7O 1J7,hindustan,$933.61,$5032.98,910,793,2009
L0J 1S5,Bharat,$908.78,$6148.22,948,834,2010
H6L 8Y6,Bharat,$813.18,$7963.52,927,657,2011
Q5V 3J6,reliance,$994.29,$4179.46,931,657,2012
N9U 4X3,hindustan,$813.50,$3241.80,1059,816,2013
A4U 9B2,hindustan,$912.71,$6974.14,931,731,2014
I6M 4U3,reliance,$863.38,$1751.73,982,737,2015
F5X 8A5,shell,$861.70,$3499.32,1016,720,2016
S0I 5M8,shell,$938.79,$4714.69,994,844,2017
Y1Z 7G3,reliance,$865.55,$8807.67,1039,718,2018
J1O 5K1,shell,$860.05,$7669.65,1039,631,2019
M8G 7Y9,hindustan,$950.76,$10109.03,946,867,2020
P6V 7Q2,reliance,$996.46,$9652.42,1064,870,2021
E7T 3Q5,shell,$998.07,$7238.32,1033,709,2022
B4N 8E1,Bharat,$917.33,$10029.48,1017,651,2023
